index,orderyear,ordermonth,net_revenue
0,2015,1,384092.65906625934
1,2015,2,706374.1221507218
2,2015,3,332961.5897278443
3,2015,4,160766.99699551737
4,2015,5,548632.6314952438
5,2015,6,748563.970960415
6,2015,7,635376.1291470119
7,2015,8,718538.6155863655
8,2015,9,696805.6794850188
9,2015,10,824891.2246410066
10,2015,11,691133.6704470175
11,2015,12,922842.1921257323
12,2016,1,835484.2591280609
13,2016,2,1248641.6904236926
14,2016,3,652327.2913922487
15,2016,4,388379.57255263394
16,2016,5,822952.6737750103
17,2016,6,947950.9847044987
18,2016,7,757521.8980312992
19,2016,8,713570.5835949972
20,2016,9,802573.3146539528
21,2016,10,825914.3923643448
22,2016,11,969210.8212422756
23,2016,12,1419086.1911274237
24,2017,1,996797.0974307975
25,2017,2,1390060.2379065645
26,2017,3,602592.5921056486
27,2017,4,263001.4870116835
28,2017,5,1135723.482518691
29,2017,6,1196537.7730474502
30,2017,7,850668.2134627011
31,2017,8,1116754.0237427994
32,2017,9,1120606.8375485705
33,2017,10,1298355.558495295
34,2017,11,1445212.1267147884
35,2017,12,1805029.62366415
36,2018,1,1675202.3230982805
37,2018,2,2109001.3705285583
38,2018,3,1178976.6360169123
39,2018,4,695283.799979218
40,2018,5,1690483.8170241534
41,2018,6,2910494.186873422
42,2018,7,1792628.0465738042
43,2018,8,2104942.641384699
44,2018,9,2211266.5813334323
45,2018,10,2562551.6643016273
46,2018,11,2596814.72051218
47,2018,12,3139802.0573282195
48,2019,1,3082448.200807471
49,2019,2,3870554.2460855497
50,2019,3,2187763.68566877
51,2019,4,1104879.7153790523
52,2019,5,2949287.667489133
53,2019,6,2745898.7792364163
54,2019,7,2401726.3894680673
55,2019,8,2688047.259641899
56,2019,9,2657849.667348263
57,2019,10,2695622.992216491
58,2019,11,2737277.148127648
59,2019,12,2696740.223326845
60,2020,1,2132132.934524412
61,2020,2,2713593.186024398
62,2020,3,1127542.8753202518
63,2020,4,508319.94548472704
64,2020,5,1215685.5979231796
65,2020,6,799668.4509291141
66,2020,7,619914.7350422258
67,2020,8,524675.3331483635
68,2020,9,328013.11947739514
69,2020,10,381504.82340097136
70,2020,11,342576.2987690405
71,2020,12,524808.4944670065
72,2021,1,669787.933434991
73,2021,2,1094980.8819320537
74,2021,3,717574.2823071422
75,2021,4,542498.7022393199
76,2021,5,1508599.6906219167
77,2021,6,1749929.0273145377
78,2021,7,1798503.8084803778
79,2021,8,1971996.654769193
80,2021,9,2423483.8446182054
81,2021,10,2599988.871941035
82,2021,11,2637035.607065596
83,2021,12,3643597.357944106
84,2022,1,3647525.92385094
85,2022,2,4840124.874037741
86,2022,3,2801554.7220532186
87,2022,4,1746624.5665636305
88,2022,5,4430652.186744981
89,2022,6,4777313.110382989
90,2022,7,3395262.6635590987
91,2022,8,3698942.66415207
92,2022,9,3854509.8779014144
93,2022,10,3913434.5193050946
94,2022,11,3520601.2655624496
95,2022,12,4238010.833487312
96,2023,1,3664431.3447418325
97,2023,2,4465204.568873987
98,2023,3,2244316.5207615616
99,2023,4,1162796.162295781
100,2023,5,2943005.9897180907
101,2023,6,2864500.028364429
102,2023,7,2337639.341301651
103,2023,8,2623919.790004511
104,2023,9,2622774.8472750853
105,2023,10,2551322.6063154163
106,2023,11,2700103.3821046557
107,2023,12,2928550.925102817
108,2024,1,2677498.5456873514
109,2024,2,3542322.5537720765
110,2024,3,1692854.894974466
111,2024,4,483851.3857726142
